Nombre,Marca,Tienda,Puntuacion,Cantidad de puntuaciones,Precio real,Precio oferta,Descuento,Imagen
Escritorio Gamer Moderno Madesa Para Pc Y Consola - Negro,MADESA,Por MADESA ,4.7,(101),S/479,S/317,33% OFF,https://http2.mlstatic.com/D_Q_NP_2X_964910-MLU72628077554_112023-AB.webp
"Haylou S30 Pro Anc Audífonos Diadema Gamer Inalámbricos/con Micrófono, Bluetooth 5.4, Llamadas Manos Libres, Cancelación De Ruido Adaptativa De - 43db, Controlador 40mm, 80h Reproducción, Azul Oscuro",HAYLOU,Por Orrohome ,5.0,(1),S/259,S/139,46% OFF,https://http2.mlstatic.com/D_Q_NP_2X_972561-MLU77243949115_062024-AB.webp
Creatina Monohidratada 1 Kg Ultimate Nutrition  Sin Sabor,ULTIMATE NUTRITION,Por Nutrigame ,4.8,(177),S/279,"S/206,46",26% OFF,https://http2.mlstatic.com/D_Q_NP_2X_836852-MLU75148988058_032024-AB.webp
Xiaomi Poco Poco X6 Pro 5g Dual Sim 512 Gb Gris 12 Gb Ram,XIAOMI,No disponible,4.8,(739),S/1.915,S/1.149,40% OFF,https://http2.mlstatic.com/D_Q_NP_2X_999948-MLA84855183067_052025-AB.webp
Mueble De Cocina Integral Madesa Glamy 270cm Marrón 13,MADESA,Por MADESA ,No disponible,No disponible,S/3.999,S/2.389,40% OFF,https://http2.mlstatic.com/D_Q_NP_2X_827359-MLU78094028136_082024-AB.webp
Bange-1908a Upgraded Version Large Capacity Backpack Color Gris Diseño De La Tela Liso,BANGE,Por Bange ,4.9,(161),S/248,S/205,17% OFF,https://http2.mlstatic.com/D_Q_NP_2X_906645-MLU77903997677_072024-AB.webp
Apple AirPods 4,APPLE,Por Apple ,No disponible,No disponible,"S/743,34",S/669,10% OFF,https://http2.mlstatic.com/D_Q_NP_2X_761492-MPE83156859797_032025-AB-apple-airpods-4.webp
Lápiz Óptico Stylus Pro Zagg Para iPad Con Carga Inalámbrica,ZAGG,Por VP Trends ,4.8,(32),"S/549,90","S/197,96",64% OFF,https://http2.mlstatic.com/D_Q_NP_2X_667831-MPE71835093343_092023-AB-lapiz-optico-stylus-pro-zagg-para-ipad-con-carga-inalambrica.webp
Smart Tv Tcl 43p635 43'' 4k Led,TCL,No disponible,4.6,(22),S/899,"S/791,12",12% OFF,https://http2.mlstatic.com/D_Q_NP_2X_831258-MLA82199612134_022025-AB.webp
Bravecto Msd Pulgas Y Garrapatas 10 Kg 20 Kg 1 Comprimido,BRAVECTO,Por Lumpet ,4.9,(287),"S/143,60",S/97,32% OFF,https://http2.mlstatic.com/D_Q_NP_2X_932617-MLA84492033465_052025-AB.webp
Cel Samsung A56 12 Gb Ram 256 Gb 5g 6.7 Pulgadas Negro,SAMSUNG,No disponible,4.8,(13),S/2.582,S/1.549,40% OFF,https://http2.mlstatic.com/D_Q_NP_2X_800005-MLA83623281227_042025-AB.webp
Impresora A Color Multifunción Epson Ecotank L8160 Wifi Color Blanco/negro,EPSON,Por Epson ,5.0,(2),S/2.799,S/2.149,23% OFF,https://http2.mlstatic.com/D_Q_NP_2X_815767-MLA84837717807_052025-AB.webp
Consola Switch Oled Neon+ Mario Jamboree+ Mario Kart 8+ Ctr,NINTENDO,Por Game Center ,No disponible,No disponible,S/2.493,S/1.745,30% OFF,https://http2.mlstatic.com/D_Q_NP_2X_692748-MPE81402088428_122024-AB-consola-switch-oled-neon-mario-jamboree-mario-kart-8-ctr.webp
Zkteco Zkam10a-slave Antena Magnética Esclavo Eas 58khz Mono,ZKTECO,Por ZKTeco ,No disponible,No disponible,S/2.909,S/1.861,36% OFF,https://http2.mlstatic.com/D_Q_NP_2X_969212-MPE76358115504_052024-AB-zkteco-zkam10a-slave-antena-magnetica-esclavo-eas-58khz-mono.webp
Televisor Samsung  Smart Tv 65  Crystal Uhd 4k Un65du7000gxp,SAMSUNG,Por Electrodomesticos Jared ,No disponible,No disponible,S/2.627,S/1.759,33% OFF,https://http2.mlstatic.com/D_Q_NP_2X_780657-MLU77622477358_072024-AB-televisor-samsung-smart-tv-65-crystal-uhd-4k-un65du7000gxp.webp
Creabolic Un 1kg Sabor Natural,UN,Por Selltech ,4.7,(113),S/250,"S/124,20",50% OFF,https://http2.mlstatic.com/D_Q_NP_2X_934261-MLU75748307265_042024-AB.webp
Barra Led Neblinero 27 Cm Slim 102w Blanco Auto Camioneta,LUX LED,Por Torettos Market ,5.0,(1),S/55,"S/30,80",44% OFF,https://http2.mlstatic.com/D_Q_NP_2X_794181-MPE52965213141_122022-AB-barra-led-neblinero-27-cm-slim-102w-blanco-auto-camioneta.webp
Apple iPhone 13 (128 Gb) - Blanco Estelar,APPLE,No disponible,4.8,(581),S/3.282,S/1.969,40% OFF,https://http2.mlstatic.com/D_Q_NP_2X_736168-MLA47781742030_102021-AB.webp
Audífono Inalambrico Sony Wf-c510 Negro True Wireless,SONY,Por Ofertec ,No disponible,No disponible,"S/245,71",S/159,35% OFF,https://http2.mlstatic.com/D_Q_NP_2X_929615-MPE81873635140_012025-AB-audifono-inalambrico-sony-wf-c510-negro-true-wireless.webp
Set 40 Kilos Pesas + Mancuernas + Adaptador De Barra Recta,1FIT,No disponible,4.9,(16),S/290,"S/217,50",25% OFF,https://http2.mlstatic.com/D_Q_NP_2X_923148-MPE81164661633_122024-AB-set-40-kilos-pesas-mancuernas-adaptador-de-barra-recta.webp
"Monitor Asus Tuf Gaming Vg249q3a Fhd 180hz Fast Ips, 1ms Gtg Color Negro",ASUS,Por PC YA Empresarial ,4.7,(49),S/990,S/609,38% OFF,https://http2.mlstatic.com/D_Q_NP_2X_858111-MLU73902867583_012024-AB.webp
Cocina Electrolux Freestanding A Gas Con 5 Quemadores De Tri,ELECTROLUX,Por Electrolux ,No disponible,No disponible,S/2.799,S/1.549,44% OFF,https://http2.mlstatic.com/D_Q_NP_2X_607759-MPE79056140080_092024-AB-cocina-electrolux-freestanding-a-gas-con-5-quemadores-de-tri.webp
"Hp Desktop Curvo 800g5, Ram 16gb Intel I7-9700, 1tb Hdd",HP,No disponible,No disponible,No disponible,S/1.799,S/1.529,15% OFF,https://http2.mlstatic.com/D_Q_NP_2X_620224-MPE83305693014_042025-AB.webp
Sony Playstation 5 Slim 1tb Con Lector De Discos Color Blanco,SONY,No disponible,4.8,(20),S/2.274,S/2.174,4% OFF,https://http2.mlstatic.com/D_Q_NP_2X_798850-MLA74916075826_032024-AB.webp
"Aspiradora Vertical Y De Mano, 2 En 1 Deerma Dx118c, 15000kpa, Filtro Hepa, Ergonómica Con 3 Cepillos",DEERMA,Por Deerma ,4.5,(85),S/299,S/109,63% OFF,https://http2.mlstatic.com/D_Q_NP_2X_982611-MLU79061707092_092024-AB.webp
Samsung Galaxy A56 5g Dual Sim 256gb 8gb Ram Gris,SAMSUNG,No disponible,4.8,(13),S/2.499,S/1.499,40% OFF,https://http2.mlstatic.com/D_Q_NP_2X_716934-MLA84846525955_052025-AB.webp
"Sistema Wi-fi Google Nest De 1 Ronda, 2 Puntos, Listo Para Color Nieve, 220 V",GOOGLE,No disponible,No disponible,No disponible,S/2.112,S/1.690,20% OFF,https://http2.mlstatic.com/D_Q_NP_2X_896573-MLU73022002247_112023-AB.webp
Taladro Percutor Stanley Sdh600 Amarillo + Caja De 19 Pulgadas+ Brocas,STANLEY,Por Stanley ,5.0,(2),"S/169,90",S/109,35% OFF,https://http2.mlstatic.com/D_Q_NP_2X_984016-MLA84315273958_052025-AB.webp
Iso Whey 90 5 Kg Proteina Isolatada +shaker - Tienda Fisica,UN,Por Nutrigame ,4.8,(311),"S/465,90","S/344,76",26% OFF,https://http2.mlstatic.com/D_Q_NP_2X_974896-MLA78974731615_092024-AB-iso-whey-90-5-kg-proteina-isolatada-shaker-tienda-fisica.webp
Estante Organizador Truper Pvc 5 Niveles Soporta 340 Kg,No disponible,Por Jota Store ,4.9,(49),S/213,"S/152,50",28% OFF,https://http2.mlstatic.com/D_Q_NP_2X_819851-MPE81872630262_012025-AB-estante-organizador-truper-pvc-5-niveles-soporta-340-kg.webp
Laptop Lenovo Ideapad Slim 14  Core I5 Ram 16gb Ssd 512gb,LENOVO,Por Lenovo ,4.5,(2),S/3.399,S/2.599,23% OFF,https://http2.mlstatic.com/D_Q_NP_2X_958114-MPE82983185469_032025-AB-laptop-lenovo-ideapad-slim-14-core-i5-ram-16gb-ssd-512gb.webp
Apple iPhone 15 128 Gb Negro,APPLE,No disponible,4.8,(639),S/3.277,S/2.785,15% OFF,https://http2.mlstatic.com/D_Q_NP_2X_779617-MLA71782867320_092023-AB.webp
Sistema Wi-fi Mesh Tp-link Deco X60 V3 Blanco Pack X 2 Unidades,TP-LINK,No disponible,5.0,(24),S/973,"S/778,40",20% OFF,https://http2.mlstatic.com/D_Q_NP_2X_759325-MLA51616434738_092022-AB.webp
Audífono C/microf. Razer Barracuda X 2022 Wireless 7.1 Black Color Negro Luz Na,RAZER,Por Razer ,4.7,(118),"S/415,56",S/349,16% OFF,https://http2.mlstatic.com/D_Q_NP_2X_798766-MLU75210745020_032024-AB.webp
Lijadora Safari Bd-46n Banda Y Disco 150mm 1000opm,SAFARI,Por VENTAS Y OFERTAS ,4.6,(19),S/636,S/499,21% OFF,https://http2.mlstatic.com/D_Q_NP_2X_944794-MPE32063702706_092019-AB-lijadora-safari-bd-46n-banda-y-disco-150mm-1000opm.webp
Adaptador De Corriente Apple A2244 Usb-c Blanco 20w - Distribuidor Autorizado,APPLE,Por Apple ,4.9,(117),"S/119,32",S/79,33% OFF,https://http2.mlstatic.com/D_Q_NP_2X_972466-MLA51824396603_102022-AB.webp
Nexxt Solutions Smart Wifi Led Color Bulb Led 220v,NEXXT,Por DROITEC ,4.8,(78),S/170,S/85,50% OFF,https://http2.mlstatic.com/D_Q_NP_2X_934065-MLC51722185593_092022-AB.webp
